,state,county,1st,2nd,3rd,votes1,votes2,votes3,pct1,pct2,pct3,party1,party2,party3
408,Georgia,Echols,M. ROMNEY,B. OBAMA,G. JOHNSON,917,173,12.0,0.8320000000000001,0.157,0.011000000000000001,R,D,O
409,Georgia,Effingham,M. ROMNEY,B. OBAMA,G. JOHNSON,15591,4941,247.0,0.75,0.23800000000000002,0.012,R,D,O
410,Georgia,Elbert,M. ROMNEY,B. OBAMA,G. JOHNSON,4857,3179,103.0,0.597,0.391,0.013000000000000001,R,D,O
411,Georgia,Emanuel,M. ROMNEY,B. OBAMA,G. JOHNSON,5086,2919,55.0,0.631,0.36200000000000004,0.006999999999999999,R,D,O
412,Georgia,Evans,M. ROMNEY,B. OBAMA,G. JOHNSON,2267,1266,27.0,0.637,0.35600000000000004,0.008,R,D,O
413,Georgia,Fannin,M. ROMNEY,B. OBAMA,G. JOHNSON,7853,2027,127.0,0.785,0.203,0.013000000000000001,R,D,O
414,Georgia,Fayette,M. ROMNEY,B. OBAMA,G. JOHNSON,38046,19703,724.0,0.6509999999999999,0.337,0.012,R,D,O
415,Georgia,Floyd,M. ROMNEY,B. OBAMA,G. JOHNSON,22636,9595,454.0,0.693,0.294,0.013999999999999999,R,D,O
416,Georgia,Forsyth,M. ROMNEY,B. OBAMA,G. JOHNSON,65853,14544,1201.0,0.807,0.17800000000000002,0.015,R,D,O
417,Georgia,Franklin,M. ROMNEY,B. OBAMA,G. JOHNSON,6112,1499,146.0,0.7879999999999999,0.193,0.019,R,D,O
418,Georgia,Fulton,B. OBAMA,M. ROMNEY,G. JOHNSON,248479,133837,4529.0,0.642,0.34600000000000003,0.012,D,R,O
419,Georgia,Gilmer,M. ROMNEY,B. OBAMA,G. JOHNSON,8920,1955,133.0,0.81,0.17800000000000002,0.012,R,D,O
420,Georgia,Glascock,M. ROMNEY,B. OBAMA,G. JOHNSON,1135,176,22.0,0.851,0.132,0.017,R,D,O
421,Georgia,Glynn,M. ROMNEY,B. OBAMA,G. JOHNSON,20853,11922,279.0,0.631,0.361,0.008,R,D,O
422,Georgia,Gordon,M. ROMNEY,B. OBAMA,G. JOHNSON,13174,3436,247.0,0.782,0.204,0.015,R,D,O
423,Georgia,Grady,M. ROMNEY,B. OBAMA,G. JOHNSON,5922,3419,50.0,0.631,0.364,0.005,R,D,O
424,Georgia,Greene,M. ROMNEY,B. OBAMA,G. JOHNSON,5067,3195,51.0,0.61,0.384,0.006,R,D,O
425,Georgia,Gwinnett,M. ROMNEY,B. OBAMA,G. JOHNSON,159563,131879,4118.0,0.54,0.446,0.013999999999999999,R,D,O
426,Georgia,Habersham,M. ROMNEY,B. OBAMA,G. JOHNSON,12148,2297,155.0,0.8320000000000001,0.157,0.011000000000000001,R,D,O
427,Georgia,Hall,M. ROMNEY,B. OBAMA,G. JOHNSON,45918,12489,834.0,0.775,0.21100000000000002,0.013999999999999999,R,D,O
428,Georgia,Hancock,B. OBAMA,M. ROMNEY,G. JOHNSON,3301,764,11.0,0.81,0.187,0.003,D,R,O
429,Georgia,Haralson,M. ROMNEY,B. OBAMA,G. JOHNSON,8439,1787,136.0,0.8140000000000001,0.172,0.013000000000000001,R,D,O
430,Georgia,Harris,M. ROMNEY,B. OBAMA,G. JOHNSON,11193,4141,145.0,0.723,0.268,0.009000000000000001,R,D,O
431,Georgia,Hart,M. ROMNEY,B. OBAMA,G. JOHNSON,6516,2869,116.0,0.6859999999999999,0.302,0.012,R,D,O
432,Georgia,Heard,M. ROMNEY,B. OBAMA,G. JOHNSON,3155,947,60.0,0.758,0.228,0.013999999999999999,R,D,O
433,Georgia,Henry,M. ROMNEY,B. OBAMA,G. JOHNSON,46299,43374,796.0,0.512,0.479,0.009000000000000001,R,D,O
434,Georgia,Houston,M. ROMNEY,B. OBAMA,G. JOHNSON,34631,22643,638.0,0.598,0.391,0.011000000000000001,R,D,O
435,Georgia,Irwin,M. ROMNEY,B. OBAMA,G. JOHNSON,2519,1134,30.0,0.684,0.308,0.008,R,D,O
436,Georgia,Jackson,M. ROMNEY,B. OBAMA,G. JOHNSON,19122,4236,312.0,0.8079999999999999,0.179,0.013000000000000001,R,D,O
437,Georgia,Jasper,M. ROMNEY,B. OBAMA,G. JOHNSON,4121,1839,50.0,0.6859999999999999,0.306,0.008,R,D,O
438,Georgia,Jeff Davis,M. ROMNEY,B. OBAMA,G. JOHNSON,3994,1271,65.0,0.7490000000000001,0.23800000000000002,0.012,R,D,O
