,Unnamed: 0,state,county,1st,2nd,3rd,votes1,votes2,votes3,pct1,pct2,pct3,party1,party2,party3,Abbreviation,FIPS
0,0,Alabama,Autauga,Bush,Gore,Others,11993,4942,273.0,69.69,28.72,1.59,R,D,O,AL,1001.0
1,1,Alabama,Baldwin,Bush,Gore,Others,40872,13997,1611.0,72.37,24.78,2.85,R,D,O,AL,1003.0
2,2,Alabama,Barbour,Gore,Bush,Others,2197,1860,59.0,53.38,45.19,1.43,D,R,O,AL,1005.0
3,3,Alabama,Bibb,Bush,Gore,Others,4273,2710,118.0,60.17,38.16,1.66,R,D,O,AL,1007.0
4,4,Alabama,Blount,Bush,Gore,Others,12667,4977,329.0,70.48,27.69,1.83,R,D,O,AL,1009.0
5,5,Alabama,Bullock,Gore,Bush,Others,3395,1433,76.0,69.23,29.22,1.55,D,R,O,AL,1011.0
6,6,Alabama,Butler,Bush,Gore,Others,4127,3606,70.0,52.89,46.21,0.9,R,D,O,AL,1013.0
7,7,Alabama,Calhoun,Bush,Gore,Others,22306,15781,822.0,57.33,40.56,2.11,R,D,O,AL,1015.0
8,8,Alabama,Chambers,Bush,Gore,Others,6037,5616,181.0,51.01,47.46,1.53,R,D,O,AL,1017.0
9,9,Alabama,Cherokee,Bush,Gore,Others,4154,3497,172.0,53.1,44.7,2.2,R,D,O,AL,1019.0
10,10,Alabama,Chilton,Bush,Gore,Others,10066,4806,220.0,66.7,31.84,1.46,R,D,O,AL,1021.0
11,11,Alabama,Choctaw,Gore,Bush,Others,3707,3600,67.0,50.27,48.82,0.91,D,R,O,AL,1023.0
12,12,Alabama,Clarke,Bush,Gore,Others,5988,4679,85.0,55.69,43.52,0.79,R,D,O,AL,1025.0
13,13,Alabama,Clay,Bush,Gore,Others,3719,2045,119.0,63.22,34.76,2.02,R,D,O,AL,1027.0
14,14,Alabama,Cleburne,Bush,Gore,Others,3333,1664,95.0,65.46,32.68,1.87,R,D,O,AL,1029.0
15,15,Alabama,Coffee,Bush,Gore,Others,9938,5220,276.0,64.39,33.82,1.79,R,D,O,AL,1031.0
16,16,Alabama,Colbert,Gore,Bush,Others,10543,10518,471.0,48.96,48.85,2.19,D,R,O,AL,1033.0
17,17,Alabama,Conecuh,Gore,Bush,Others,2783,2699,69.0,50.14,48.62,1.24,D,R,O,AL,1035.0
18,18,Alabama,Coosa,Bush,Gore,Others,2382,2104,81.0,52.16,46.07,1.77,R,D,O,AL,1037.0
19,19,Alabama,Covington,Bush,Gore,Others,8961,4440,212.0,65.83,32.62,1.56,R,D,O,AL,1039.0
20,20,Alabama,Crenshaw,Bush,Gore,Others,2793,1934,68.0,58.25,40.33,1.42,R,D,O,AL,1041.0
21,21,Alabama,Cullman,Bush,Gore,Others,19157,9758,610.0,64.88,33.05,2.07,R,D,O,AL,1043.0
22,22,Alabama,Dale,Bush,Gore,Others,10593,4906,307.0,67.02,31.04,1.94,R,D,O,AL,1045.0
23,23,Alabama,Dallas,Gore,Bush,Others,10967,7360,137.0,59.4,39.86,0.74,D,R,O,AL,1047.0
24,24,Alabama,DeKalb,Bush,Gore,Others,12827,7056,402.0,63.23,34.78,1.98,R,D,O,AL,1049.0
25,25,Alabama,Elmore,Bush,Gore,Others,16777,6652,375.0,70.48,27.94,1.58,R,D,O,AL,1051.0
26,26,Alabama,Escambia,Bush,Gore,Others,6975,4523,162.0,59.82,38.79,1.39,R,D,O,AL,1053.0
27,27,Alabama,Etowah,Bush,Gore,Others,21087,17433,828.0,53.59,44.3,2.1,R,D,O,AL,1055.0
28,28,Alabama,Fayette,Bush,Gore,Others,4582,3064,162.0,58.68,39.24,2.07,R,D,O,AL,1057.0
29,29,Alabama,Franklin,Bush,Gore,Others,6119,4793,191.0,55.11,43.17,1.72,R,D,O,AL,1059.0
30,30,Alabama,Geneva,Bush,Gore,Others,6588,2769,202.0,68.92,28.97,2.11,R,D,O,AL,1061.0
31,31,Alabama,Greene,Gore,Bush,Others,3504,850,42.0,79.71,19.34,0.96,D,R,O,AL,1063.0
32,32,Alabama,Hale,Gore,Bush,Others,4652,2984,95.0,60.17,38.6,1.23,D,R,O,AL,1065.0
33,33,Alabama,Henry,Bush,Gore,Others,4054,2782,96.0,58.48,40.13,1.38,R,D,O,AL,1067.0
34,34,Alabama,Houston,Bush,Gore,Others,22150,9412,495.0,69.1,29.36,1.54,R,D,O,AL,1069.0
35,35,Alabama,Jackson,Gore,Bush,Others,9066,8475,365.0,50.63,47.33,2.04,D,R,O,AL,1071.0
36,36,Alabama,Jefferson,Bush,Gore,Others,138491,129889,5383.0,50.59,47.45,1.97,R,D,O,AL,1073.0
37,37,Alabama,Lamar,Bush,Gore,Others,4470,2653,126.0,61.66,36.6,1.74,R,D,O,AL,1075.0
38,38,Alabama,Lauderdale,Bush,Gore,Others,17478,13875,784.0,54.39,43.17,2.44,R,D,O,AL,1077.0
39,39,Alabama,Lawrence,Gore,Bush,Others,6296,5671,218.0,51.67,46.54,1.79,D,R,O,AL,1079.0
40,40,Alabama,Lee,Bush,Gore,Others,22433,14574,1257.0,58.63,38.09,3.29,R,D,O,AL,1081.0
41,41,Alabama,Limestone,Bush,Gore,Others,14204,8992,438.0,60.1,38.05,1.85,R,D,O,AL,1083.0
42,42,Alabama,Lowndes,Gore,Bush,Others,4557,1638,48.0,72.99,26.24,0.77,D,R,O,AL,1085.0
43,43,Alabama,Macon,Gore,Bush,Others,7665,1091,75.0,86.8,12.35,0.85,D,R,O,AL,1087.0
44,44,Alabama,Madison,Bush,Gore,Others,62151,48199,2968.0,54.85,42.53,2.62,R,D,O,AL,1089.0
45,45,Alabama,Marengo,Gore,Bush,Others,4841,4690,77.0,50.39,48.81,0.8,D,R,O,AL,1091.0
46,46,Alabama,Marion,Bush,Gore,Others,6910,4600,246.0,58.78,39.13,2.09,R,D,O,AL,1093.0
47,47,Alabama,Marshall,Bush,Gore,Others,17084,10381,524.0,61.04,37.09,1.87,R,D,O,AL,1095.0
48,48,Alabama,Mobile,Bush,Gore,Others,78162,58640,2943.0,55.93,41.96,2.11,R,D,O,AL,1097.0
49,49,Alabama,Monroe,Bush,Gore,Others,5153,3741,57.0,57.57,41.79,0.64,R,D,O,AL,1099.0
50,50,Alabama,Montgomery,Gore,Bush,Others,40371,38827,1130.0,50.26,48.34,1.41,D,R,O,AL,1101.0
51,51,Alabama,Morgan,Bush,Gore,Others,25774,16060,847.0,60.39,37.63,1.98,R,D,O,AL,1103.0
52,52,Alabama,Perry,Gore,Bush,Others,4020,1732,35.0,69.47,29.93,0.6,D,R,O,AL,1105.0
