,state,county,1st,2nd,3rd,votes1,votes2,votes3,pct1,pct2,pct3,party1,party2,party3
0,Alabama,Autauga,Bush,Gore,Others,11993,4942,273,69.69,28.72,1.59,R,D,O
1,Alabama,Baldwin,Bush,Gore,Others,40872,13997,1611,72.37,24.78,2.85,R,D,O
2,Alabama,Barbour,Gore,Bush,Others,2197,1860,59,53.38,45.19,1.43,D,R,O
3,Alabama,Bibb,Bush,Gore,Others,4273,2710,118,60.17,38.16,1.66,R,D,O
4,Alabama,Blount,Bush,Gore,Others,12667,4977,329,70.48,27.69,1.83,R,D,O
5,Alabama,Bullock,Gore,Bush,Others,3395,1433,76,69.23,29.22,1.55,D,R,O
6,Alabama,Butler,Bush,Gore,Others,4127,3606,70,52.89,46.21,0.9,R,D,O
7,Alabama,Calhoun,Bush,Gore,Others,22306,15781,822,57.33,40.56,2.11,R,D,O
8,Alabama,Chambers,Bush,Gore,Others,6037,5616,181,51.01,47.46,1.53,R,D,O
9,Alabama,Cherokee,Bush,Gore,Others,4154,3497,172,53.1,44.7,2.2,R,D,O
10,Alabama,Chilton,Bush,Gore,Others,10066,4806,220,66.7,31.84,1.46,R,D,O
11,Alabama,Choctaw,Gore,Bush,Others,3707,3600,67,50.27,48.82,0.91,D,R,O
12,Alabama,Clarke,Bush,Gore,Others,5988,4679,85,55.69,43.52,0.79,R,D,O
13,Alabama,Clay,Bush,Gore,Others,3719,2045,119,63.22,34.76,2.02,R,D,O
14,Alabama,Cleburne,Bush,Gore,Others,3333,1664,95,65.46,32.68,1.87,R,D,O
15,Alabama,Coffee,Bush,Gore,Others,9938,5220,276,64.39,33.82,1.79,R,D,O
16,Alabama,Colbert,Gore,Bush,Others,10543,10518,471,48.96,48.85,2.19,D,R,O
17,Alabama,Conecuh,Gore,Bush,Others,2783,2699,69,50.14,48.62,1.24,D,R,O
18,Alabama,Coosa,Bush,Gore,Others,2382,2104,81,52.16,46.07,1.77,R,D,O
19,Alabama,Covington,Bush,Gore,Others,8961,4440,212,65.83,32.62,1.56,R,D,O
20,Alabama,Crenshaw,Bush,Gore,Others,2793,1934,68,58.25,40.33,1.42,R,D,O
21,Alabama,Cullman,Bush,Gore,Others,19157,9758,610,64.88,33.05,2.07,R,D,O
22,Alabama,Dale,Bush,Gore,Others,10593,4906,307,67.02,31.04,1.94,R,D,O
23,Alabama,Dallas,Gore,Bush,Others,10967,7360,137,59.4,39.86,0.74,D,R,O
24,Alabama,DeKalb,Bush,Gore,Others,12827,7056,402,63.23,34.78,1.98,R,D,O
25,Alabama,Elmore,Bush,Gore,Others,16777,6652,375,70.48,27.94,1.58,R,D,O
26,Alabama,Escambia,Bush,Gore,Others,6975,4523,162,59.82,38.79,1.39,R,D,O
27,Alabama,Etowah,Bush,Gore,Others,21087,17433,828,53.59,44.3,2.1,R,D,O
28,Alabama,Fayette,Bush,Gore,Others,4582,3064,162,58.68,39.24,2.07,R,D,O
29,Alabama,Franklin,Bush,Gore,Others,6119,4793,191,55.11,43.17,1.72,R,D,O
30,Alabama,Geneva,Bush,Gore,Others,6588,2769,202,68.92,28.97,2.11,R,D,O
31,Alabama,Greene,Gore,Bush,Others,3504,850,42,79.71,19.34,0.96,D,R,O
32,Alabama,Hale,Gore,Bush,Others,4652,2984,95,60.17,38.6,1.23,D,R,O
33,Alabama,Henry,Bush,Gore,Others,4054,2782,96,58.48,40.13,1.38,R,D,O
34,Alabama,Houston,Bush,Gore,Others,22150,9412,495,69.1,29.36,1.54,R,D,O
35,Alabama,Jackson,Gore,Bush,Others,9066,8475,365,50.63,47.33,2.04,D,R,O
36,Alabama,Jefferson,Bush,Gore,Others,138491,129889,5383,50.59,47.45,1.97,R,D,O
37,Alabama,Lamar,Bush,Gore,Others,4470,2653,126,61.66,36.6,1.74,R,D,O
38,Alabama,Lauderdale,Bush,Gore,Others,17478,13875,784,54.39,43.17,2.44,R,D,O
39,Alabama,Lawrence,Gore,Bush,Others,6296,5671,218,51.67,46.54,1.79,D,R,O
40,Alabama,Lee,Bush,Gore,Others,22433,14574,1257,58.63,38.09,3.29,R,D,O
41,Alabama,Limestone,Bush,Gore,Others,14204,8992,438,60.1,38.05,1.85,R,D,O
42,Alabama,Lowndes,Gore,Bush,Others,4557,1638,48,72.99,26.24,0.77,D,R,O
43,Alabama,Macon,Gore,Bush,Others,7665,1091,75,86.8,12.35,0.85,D,R,O
44,Alabama,Madison,Bush,Gore,Others,62151,48199,2968,54.85,42.53,2.62,R,D,O
45,Alabama,Marengo,Gore,Bush,Others,4841,4690,77,50.39,48.81,0.8,D,R,O
46,Alabama,Marion,Bush,Gore,Others,6910,4600,246,58.78,39.13,2.09,R,D,O
47,Alabama,Marshall,Bush,Gore,Others,17084,10381,524,61.04,37.09,1.87,R,D,O
48,Alabama,Mobile,Bush,Gore,Others,78162,58640,2943,55.93,41.96,2.11,R,D,O
49,Alabama,Monroe,Bush,Gore,Others,5153,3741,57,57.57,41.79,0.64,R,D,O
50,Alabama,Montgomery,Gore,Bush,Others,40371,38827,1130,50.26,48.34,1.41,D,R,O
51,Alabama,Morgan,Bush,Gore,Others,25774,16060,847,60.39,37.63,1.98,R,D,O
52,Alabama,Perry,Gore,Bush,Others,4020,1732,35,69.47,29.93,0.6,D,R,O
53,Alabama,Pickens,Bush,Gore,Others,4306,4143,91,50.42,48.51,1.07,R,D,O
54,Alabama,Pike,Bush,Gore,Others,6058,4357,129,57.45,41.32,1.22,R,D,O
55,Alabama,Randolph,Bush,Gore,Others,4666,3094,159,58.92,39.07,2.01,R,D,O
56,Alabama,Russell,Gore,Bush,Others,8396,6198,181,56.83,41.95,1.23,D,R,O
57,Alabama,Shelby,Bush,Gore,Others,47651,13183,1294,76.7,21.22,2.08,R,D,O
58,Alabama,St. Clair,Bush,Gore,Others,17117,6485,488,71.05,26.92,2.03,R,D,O
59,Alabama,Sumter,Gore,Bush,Others,4415,1629,44,72.52,26.76,0.72,D,R,O
60,Alabama,Talladega,Bush,Gore,Others,13807,11264,380,54.25,44.26,1.49,R,D,O
61,Alabama,Tallapoosa,Bush,Gore,Others,9805,6183,265,60.33,38.04,1.63,R,D,O
62,Alabama,Tuscaloosa,Bush,Gore,Others,34003,24614,1497,56.56,40.95,2.49,R,D,O
63,Alabama,Walker,Bush,Gore,Others,13486,11621,534,52.6,45.32,2.08,R,D,O
