,state,county,1st,2nd,3rd,votes1,votes2,votes3,pct1,pct2,pct3,party1,party2,party3
42,Alabama,Cullman County,H. CLINTON,B. SANDERS,UNCOMMITTED,1275.0,723.0,79.0,0.608,0.345,0.038,D,D,D
43,Alabama,Cullman County,D. TRUMP,T. CRUZ,M. RUBIO,10618.0,4248.0,2832.0,0.506,0.203,0.135,R,R,R
44,Alabama,Dale County,H. CLINTON,B. SANDERS,UNCOMMITTED,1544.0,415.0,34.0,0.77,0.207,0.017,D,D,D
45,Alabama,Dale County,D. TRUMP,T. CRUZ,M. RUBIO,4151.0,2008.0,1194.0,0.45299999999999996,0.21899999999999997,0.13,R,R,R
46,Alabama,Dallas County,H. CLINTON,B. SANDERS,UNCOMMITTED,8577.0,1774.0,935.0,0.7440000000000001,0.154,0.081,D,D,D
47,Alabama,Dallas County,D. TRUMP,T. CRUZ,M. RUBIO,523.0,181.0,76.0,0.597,0.207,0.087,R,R,R
48,Alabama,DeKalb County,H. CLINTON,B. SANDERS,UNCOMMITTED,1297.0,667.0,71.0,0.629,0.32299999999999995,0.034,D,D,D
49,Alabama,DeKalb County,D. TRUMP,M. RUBIO,T. CRUZ,6247.0,2837.0,2153.0,0.47600000000000003,0.21600000000000003,0.16399999999999998,R,R,R
50,Alabama,Elmore County,H. CLINTON,B. SANDERS,UNCOMMITTED,3019.0,694.0,42.0,0.8009999999999999,0.184,0.011000000000000001,D,D,D
51,Alabama,Elmore County,D. TRUMP,T. CRUZ,B. CARSON,8525.0,3236.0,2630.0,0.478,0.182,0.14800000000000002,R,R,R
52,Alabama,Escambia County,H. CLINTON,B. SANDERS,UNCOMMITTED,2027.0,226.0,34.0,0.885,0.099,0.015,D,D,D
53,Alabama,Escambia County,D. TRUMP,M. RUBIO,T. CRUZ,2817.0,1028.0,978.0,0.493,0.18,0.171,R,R,R
54,Alabama,Etowah County,H. CLINTON,B. SANDERS,UNCOMMITTED,4262.0,1289.0,133.0,0.746,0.226,0.023,D,D,D
55,Alabama,Etowah County,D. TRUMP,T. CRUZ,M. RUBIO,8657.0,3891.0,3155.0,0.461,0.207,0.168,R,R,R
56,Alabama,Fayette County,H. CLINTON,B. SANDERS,UNCOMMITTED,660.0,148.0,41.0,0.767,0.172,0.048,D,D,D
57,Alabama,Fayette County,D. TRUMP,T. CRUZ,M. RUBIO,2479.0,1043.0,663.0,0.499,0.21,0.133,R,R,R
58,Alabama,Franklin County,H. CLINTON,B. SANDERS,UNCOMMITTED,1233.0,767.0,486.0,0.484,0.301,0.191,D,D,D
59,Alabama,Franklin County,D. TRUMP,T. CRUZ,M. RUBIO,2155.0,892.0,562.0,0.515,0.213,0.134,R,R,R
60,Alabama,Geneva County,H. CLINTON,B. SANDERS,UNCOMMITTED,544.0,157.0,16.0,0.7490000000000001,0.21600000000000003,0.022000000000000002,D,D,D
61,Alabama,Geneva County,D. TRUMP,T. CRUZ,M. RUBIO,3106.0,1517.0,829.0,0.486,0.237,0.13,R,R,R
62,Alabama,Greene County,H. CLINTON,B. SANDERS,UNCOMMITTED,2714.0,213.0,58.0,0.9009999999999999,0.071,0.019,D,D,D
63,Alabama,Greene County,D. TRUMP,T. CRUZ,M. RUBIO,147.0,59.0,33.0,0.5379999999999999,0.21600000000000003,0.121,R,R,R
64,Alabama,Hale County,H. CLINTON,B. SANDERS,UNCOMMITTED,2426.0,427.0,176.0,0.7959999999999999,0.14,0.057999999999999996,D,D,D
65,Alabama,Hale County,D. TRUMP,T. CRUZ,M. RUBIO,590.0,283.0,132.0,0.521,0.25,0.11699999999999999,R,R,R
66,Alabama,Henry County,H. CLINTON,B. SANDERS,UNCOMMITTED,1170.0,163.0,26.0,0.856,0.11900000000000001,0.019,D,D,D
67,Alabama,Henry County,D. TRUMP,T. CRUZ,M. RUBIO,1778.0,847.0,545.0,0.46799999999999997,0.223,0.14300000000000002,R,R,R
68,Alabama,Houston County,H. CLINTON,B. SANDERS,UNCOMMITTED,3044.0,780.0,54.0,0.7829999999999999,0.201,0.013999999999999999,D,D,D
69,Alabama,Houston County,D. TRUMP,T. CRUZ,M. RUBIO,8171.0,4558.0,3683.0,0.40399999999999997,0.225,0.182,R,R,R
70,Alabama,Jackson County,H. CLINTON,B. SANDERS,UNCOMMITTED,1327.0,510.0,47.0,0.7,0.26899999999999996,0.025,D,D,D
71,Alabama,Jackson County,D. TRUMP,M. RUBIO,T. CRUZ,5463.0,1847.0,1791.0,0.499,0.16899999999999998,0.16399999999999998,R,R,R
72,Alabama,Jefferson County,H. CLINTON,B. SANDERS,UNCOMMITTED,67357.0,14319.0,638.0,0.816,0.174,0.008,D,D,D
73,Alabama,Jefferson County,D. TRUMP,M. RUBIO,T. CRUZ,32853.0,23132.0,22355.0,0.35,0.247,0.23800000000000002,R,R,R
