,state,county,1st,2nd,3rd,votes1,votes2,votes3,pct1,pct2,pct3,party1,party2,party3
0,Alabama,Autauga County,D. TRUMP,H. CLINTON,G. JOHNSON,18110,5908,538,0.7340000000000001,0.24,0.022000000000000002,R,D,O
1,Alabama,Baldwin County,D. TRUMP,H. CLINTON,G. JOHNSON,72780,18409,2448,0.774,0.196,0.026000000000000002,R,D,O
2,Alabama,Barbour County,D. TRUMP,H. CLINTON,G. JOHNSON,5431,4848,93,0.523,0.467,0.009000000000000001,R,D,O
3,Alabama,Bibb County,D. TRUMP,H. CLINTON,G. JOHNSON,6733,1874,124,0.77,0.214,0.013999999999999999,R,D,O
4,Alabama,Blount County,D. TRUMP,H. CLINTON,G. JOHNSON,22808,2150,337,0.899,0.085,0.013000000000000001,R,D,O
5,Alabama,Bullock County,H. CLINTON,D. TRUMP,G. JOHNSON,3530,1139,22,0.7509999999999999,0.242,0.005,D,R,O
6,Alabama,Butler County,D. TRUMP,H. CLINTON,G. JOHNSON,4891,3716,65,0.563,0.428,0.006999999999999999,R,D,O
7,Alabama,Calhoun County,D. TRUMP,H. CLINTON,G. JOHNSON,32803,13197,1114,0.6920000000000001,0.27899999999999997,0.024,R,D,O
8,Alabama,Chambers County,D. TRUMP,H. CLINTON,G. JOHNSON,7803,5763,168,0.5660000000000001,0.418,0.012,R,D,O
9,Alabama,Cherokee County,D. TRUMP,H. CLINTON,G. JOHNSON,8809,1524,145,0.8390000000000001,0.145,0.013999999999999999,R,D,O
10,Alabama,Chilton County,D. TRUMP,H. CLINTON,G. JOHNSON,15068,2909,226,0.825,0.159,0.012,R,D,O
11,Alabama,Choctaw County,D. TRUMP,H. CLINTON,G. JOHNSON,4102,3109,51,0.564,0.428,0.006999999999999999,R,D,O
12,Alabama,Clarke County,D. TRUMP,H. CLINTON,G. JOHNSON,7109,5712,98,0.55,0.442,0.008,R,D,O
13,Alabama,Clay County,D. TRUMP,H. CLINTON,G. JOHNSON,5230,1234,92,0.7959999999999999,0.188,0.013999999999999999,R,D,O
14,Alabama,Cleburne County,D. TRUMP,H. CLINTON,G. JOHNSON,5738,684,90,0.878,0.105,0.013999999999999999,R,D,O
15,Alabama,Coffee County,D. TRUMP,H. CLINTON,G. JOHNSON,15825,4194,392,0.7709999999999999,0.204,0.019,R,D,O
16,Alabama,Colbert County,D. TRUMP,H. CLINTON,G. JOHNSON,16718,7296,506,0.679,0.29600000000000004,0.021,R,D,O
17,Alabama,Conecuh County,D. TRUMP,H. CLINTON,G. JOHNSON,3413,3069,51,0.522,0.469,0.008,R,D,O
18,Alabama,Coosa County,D. TRUMP,H. CLINTON,G. JOHNSON,3376,1780,53,0.6459999999999999,0.341,0.01,R,D,O
19,Alabama,Covington County,D. TRUMP,H. CLINTON,G. JOHNSON,13222,2379,181,0.836,0.15,0.011000000000000001,R,D,O
20,Alabama,Crenshaw County,D. TRUMP,H. CLINTON,G. JOHNSON,4511,1663,64,0.722,0.266,0.01,R,D,O
21,Alabama,Cullman County,D. TRUMP,H. CLINTON,G. JOHNSON,32734,3730,682,0.878,0.1,0.018000000000000002,R,D,O
22,Alabama,Dale County,D. TRUMP,H. CLINTON,G. JOHNSON,13798,4408,349,0.741,0.237,0.019,R,D,O
23,Alabama,Dallas County,H. CLINTON,D. TRUMP,G. JOHNSON,12826,5784,96,0.685,0.309,0.005,D,R,O
24,Alabama,DeKalb County,D. TRUMP,H. CLINTON,G. JOHNSON,21779,3682,469,0.835,0.141,0.018000000000000002,R,D,O
25,Alabama,Elmore County,D. TRUMP,H. CLINTON,G. JOHNSON,27619,8436,738,0.748,0.22899999999999998,0.02,R,D,O
26,Alabama,Escambia County,D. TRUMP,H. CLINTON,G. JOHNSON,10282,4698,195,0.6759999999999999,0.309,0.013000000000000001,R,D,O
27,Alabama,Etowah County,D. TRUMP,H. CLINTON,G. JOHNSON,32132,10350,829,0.7390000000000001,0.23800000000000002,0.019,R,D,O
