,state,county,1st,2nd,3rd,votes1,votes2,votes3,pct1,pct2,pct3,party1,party2,party3,primary_date,primary_type,edge1,edge2,edge3,Abbreviation,area_name,state_abbreviation,PST045214,PST040210,PST120214,POP010210,AGE135214,AGE295214,AGE775214,SEX255214,RHI125214,RHI225214,RHI325214,RHI425214,RHI525214,RHI625214,RHI725214,RHI825214,POP715213,POP645213,POP815213,EDU635213,EDU685213,VET605213,LFE305213,HSG010214,HSG445213,HSG096213,HSG495213,HSD410213,HSD310213,INC910213,INC110213,PVY020213,BZA010213,BZA110213,BZA115213,NES010213,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030214,LND110210,POP060210
845,Louisiana,Evangeline Parish,D. TRUMP,T. CRUZ,M. RUBIO,730.0,585.0,133.0,0.472,0.378,0.086,R,R,R,03/05/16,Closed primary,0.138666666667,0.0446666666667,-0.247333333333,LA,Evangeline Parish,LA,33700.0,33984.0,-0.8,33984.0,7.3,26.4,14.3,49.3,69.7,28.4,0.4,0.5,0.0,1.0,2.5,67.7,88.0,2.5,21.3,67.8,11.4,1781.0,30.0,14859.0,67.4,7.2,80000.0,11967.0,2.64,18023.0,31832.0,24.5,516.0,6517.0,5.3,1594.0,2072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228598.0,6379.0,9263.0,62.0,662.38,51.3
846,Louisiana,Franklin Parish,D. TRUMP,T. CRUZ,M. RUBIO,633.0,574.0,111.0,0.446,0.405,0.078,R,R,R,03/05/16,Closed primary,0.112666666667,0.0716666666667,-0.255333333333,LA,Franklin Parish,LA,20441.0,20767.0,-1.6,20767.0,7.0,25.5,16.9,51.4,66.4,32.0,0.3,0.3,0.1,1.0,1.4,65.5,84.5,0.2,0.8,70.6,11.6,1222.0,25.3,9100.0,69.8,5.6,75200.0,7704.0,2.49,17752.0,31214.0,29.9,384.0,3979.0,1.5,1399.0,1383.0,0.0,0.0,0.0,0.0,0.0,26.2,0.0,182680.0,215511.0,10760.0,14329.0,26.0,624.59,33.2
847,Louisiana,Grant Parish,D. TRUMP,T. CRUZ,M. RUBIO,722.0,696.0,138.0,0.437,0.421,0.084,R,R,R,03/05/16,Closed primary,0.103666666667,0.0876666666667,-0.249333333333,LA,Grant Parish,LA,22384.0,22309.0,0.3,22309.0,5.7,21.7,13.8,43.9,80.6,16.0,1.1,0.5,0.0,1.8,4.7,76.6,89.1,2.8,5.6,78.8,10.2,1748.0,32.5,9031.0,78.0,2.3,78300.0,7340.0,2.6,19018.0,39654.0,17.3,171.0,1926.0,14.3,1010.0,1197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74699.0,3778.0,0.0,41.0,643.03,34.7
848,Louisiana,Iberia Parish,D. TRUMP,T. CRUZ,M. RUBIO,2157.0,1805.0,544.0,0.444,0.372,0.112,R,R,R,03/05/16,Closed primary,0.110666666667,0.0386666666667,-0.221333333333,LA,Iberia Parish,LA,73913.0,73240.0,0.9,73240.0,7.0,26.5,13.3,51.0,62.6,32.2,0.6,3.1,0.1,1.5,3.9,59.5,85.8,3.9,12.9,76.6,13.6,4521.0,23.9,30087.0,71.4,10.3,101200.0,26496.0,2.71,22997.0,44262.0,20.7,1711.0,29877.0,-0.3,6110.0,7677.0,18.6,0.0,4.0,0.0,2.1,28.7,1586213.0,0.0,910199.0,12167.0,73544.0,95.0,574.11,127.6
849,Louisiana,Iberville Parish,D. TRUMP,T. CRUZ,M. RUBIO,830.0,546.0,171.0,0.491,0.323,0.101,R,R,R,03/05/16,Closed primary,0.157666666667,-0.0103333333333,-0.232333333333,LA,Iberville Parish,LA,33327.0,33407.0,-0.2,33387.0,6.2,21.7,13.6,48.8,49.4,49.0,0.2,0.5,0.1,0.9,2.6,47.6,86.4,0.9,3.8,76.6,12.8,1961.0,24.6,13004.0,77.1,4.6,93300.0,11192.0,2.64,21177.0,45368.0,19.2,527.0,9784.0,7.9,2154.0,2500.0,18.1,1.6,0.0,0.0,0.0,24.4,7694728.0,149928.0,274399.0,8337.0,17866.0,95.0,618.63,54.0
850,Louisiana,Jackson Parish,T. CRUZ,D. TRUMP,M. RUBIO,664.0,491.0,117.0,0.475,0.351,0.084,R,R,R,03/05/16,Closed primary,0.141666666667,0.0176666666667,-0.249333333333,LA,Jackson Parish,LA,15994.0,16274.0,-1.7,16274.0,5.6,22.3,18.3,49.0,69.0,29.1,0.3,0.2,0.0,1.4,1.5,67.7,81.1,0.6,1.5,82.7,13.8,1402.0,29.9,7748.0,66.7,6.4,77800.0,6090.0,2.54,19188.0,37388.0,20.6,244.0,2699.0,-0.3,806.0,903.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114478.0,7594.0,7863.0,23.0,569.18,28.6
851,Louisiana,Jefferson Parish,D. TRUMP,T. CRUZ,M. RUBIO,13557.0,8553.0,3939.0,0.46,0.29,0.134,R,R,R,03/05/16,Closed primary,0.126666666667,-0.0433333333333,-0.199333333333,LA,Jefferson Parish,LA,435716.0,432552.0,0.7,432552.0,6.3,21.9,15.1,51.5,66.3,27.2,0.6,4.2,0.1,1.6,13.8,54.1,87.1,11.5,16.8,83.8,23.6,27133.0,23.4,189066.0,62.5,29.6,172500.0,167251.0,2.57,26908.0,48261.0,16.5,11630.0,178459.0,-1.3,40210.0,45343.0,12.5,0.6,5.2,0.0,8.4,24.9,2837246.0,6049778.0,8106201.0,18409.0,982943.0,346.0,295.63,1463.1
852,Louisiana,Jefferson Davis Parish,D. TRUMP,T. CRUZ,M. RUBIO,634.0,621.0,202.0,0.398,0.39,0.127,R,R,R,03/05/16,Closed primary,0.0646666666667,0.0566666666667,-0.206333333333,LA,Jefferson Davis Parish,LA,31477.0,31594.0,-0.4,31594.0,7.2,25.9,15.2,51.1,79.9,17.1,0.7,0.3,0.0,2.0,2.3,77.9,83.8,1.0,11.5,78.2,13.0,2183.0,31.4,13564.0,74.0,4.5,86600.0,11634.0,2.67,21132.0,41622.0,18.8,658.0,7149.0,4.4,1806.0,2005.0,6.3,0.0,3.0,0.0,0.0,28.4,189206.0,0.0,338794.0,10916.0,26709.0,89.0,651.33,48.5
853,Louisiana,La Salle Parish,D. TRUMP,T. CRUZ,M. RUBIO,577.0,501.0,118.0,0.439,0.381,0.09,R,R,R,03/05/16,Closed primary,0.105666666667,0.0476666666667,-0.243333333333,LA,La Salle Parish,LA,14839.0,14890.0,-0.3,14890.0,5.9,22.9,15.9,48.1,85.0,12.5,1.2,0.2,0.0,1.0,2.5,82.9,86.1,2.0,3.1,80.1,12.9,1050.0,35.0,6593.0,83.2,4.5,73900.0,5619.0,2.45,22481.0,42528.0,14.2,358.0,3438.0,6.8,832.0,1243.0,3.1,0.0,0.0,0.0,4.7,27.5,0.0,0.0,116442.0,8321.0,7583.0,2.0,624.68,23.8
854,Louisiana,Lafayette Parish,D. TRUMP,T. CRUZ,M. RUBIO,7171.0,6680.0,2141.0,0.407,0.379,0.121,R,R,R,03/05/16,Closed primary,0.0736666666667,0.0456666666667,-0.212333333333,LA,Lafayette Parish,LA,235644.0,221578.0,6.3,221578.0,6.8,23.9,11.3,51.1,70.2,26.1,0.4,1.7,0.1,1.5,4.5,66.4,84.7,4.4,15.0,85.5,28.3,13976.0,22.8,97492.0,65.5,21.8,162500.0,86504.0,2.54,28901.0,51462.0,16.7,8326.0,129636.0,3.7,21781.0,24229.0,12.3,0.0,2.3,0.0,2.4,24.2,2037231.0,2651421.0,3814288.0,18588.0,584645.0,1812.0,268.72,824.6
855,Louisiana,Lafourche Parish,D. TRUMP,T. CRUZ,M. RUBIO,2725.0,1871.0,753.0,0.468,0.321,0.129,R,R,R,03/05/16,Closed primary,0.134666666667,-0.0123333333333,-0.204333333333,LA,Lafourche Parish,LA,98020.0,96592.0,1.5,96318.0,6.3,23.6,13.7,50.7,80.6,13.7,2.9,0.9,0.1,1.8,4.6,76.7,89.1,2.7,17.5,73.8,14.8,4555.0,26.0,39635.0,77.7,8.4,126500.0,35072.0,2.7,24798.0,50572.0,14.1,1842.0,28398.0,-0.4,6714.0,7950.0,2.3,0.0,3.4,0.0,0.7,23.9,614334.0,888422.0,917511.0,9878.0,106618.0,398.0,1068.21,90.2
856,Louisiana,Lincoln Parish,T. CRUZ,D. TRUMP,M. RUBIO,1450.0,984.0,423.0,0.448,0.304,0.131,R,R,R,03/05/16,Closed primary,0.114666666667,-0.0293333333333,-0.202333333333,LA,Lincoln Parish,LA,47617.0,46735.0,1.9,46735.0,6.0,20.3,12.3,51.3,55.0,41.6,0.4,1.7,0.1,1.2,2.7,53.0,77.2,4.8,4.2,85.1,34.4,2587.0,20.8,19732.0,54.7,23.2,116900.0,16877.0,2.56,20633.0,35769.0,30.4,1018.0,14521.0,0.3,2755.0,3441.0,0.0,0.0,1.5,0.0,0.0,24.1,0.0,171292.0,527771.0,12361.0,72490.0,74.0,471.74,99.1
