,state,county,1st,2nd,3rd,votes1,votes2,votes3,pct1,pct2,pct3,party1,party2,party3
0,Alabama,Autauga,Bush,Kerry,Others,15196,4758,127,75.7,23.7,0.6,R,D,O
1,Alabama,Baldwin,Bush,Kerry,Others,52971,15599,750,76.4,22.5,1.1,R,D,O
2,Alabama,Barbour,Bush,Kerry,Others,5899,4832,46,54.7,44.8,0.4,R,D,O
3,Alabama,Bibb,Bush,Kerry,Others,5472,2089,39,72.0,27.5,0.5,R,D,O
4,Alabama,Blount,Bush,Kerry,Others,17386,3938,180,80.9,18.3,0.8,R,D,O
5,Alabama,Bullock,Kerry,Bush,Others,3210,1494,13,68.1,31.7,0.3,D,R,O
6,Alabama,Butler,Bush,Kerry,Others,4979,3413,24,59.2,40.6,0.3,R,D,O
7,Alabama,Calhoun,Bush,Kerry,Others,29814,15083,352,65.9,33.3,0.8,R,D,O
8,Alabama,Chambers,Bush,Kerry,Others,7622,5347,63,58.5,41.0,0.5,R,D,O
9,Alabama,Cherokee,Bush,Kerry,Others,5923,3040,86,65.5,33.6,1.0,R,D,O
10,Alabama,Chilton,Bush,Kerry,Others,12829,3778,86,76.9,22.6,0.5,R,D,O
11,Alabama,Choctaw,Bush,Kerry,Others,3897,3303,27,53.9,45.7,0.4,R,D,O
12,Alabama,Clarke,Bush,Kerry,Others,6730,4627,37,59.1,40.6,0.3,R,D,O
13,Alabama,Clay,Bush,Kerry,Others,4624,1893,59,70.3,28.8,0.9,R,D,O
14,Alabama,Cleburne,Bush,Kerry,Others,4370,1391,37,75.4,24.0,0.6,R,D,O
15,Alabama,Coffee,Bush,Kerry,Others,13019,4480,117,73.9,25.4,0.7,R,D,O
16,Alabama,Colbert,Bush,Kerry,Others,13188,10598,149,55.1,44.3,0.6,R,D,O
17,Alabama,Conecuh,Bush,Kerry,Others,3271,2719,31,54.3,45.2,0.5,R,D,O
18,Alabama,Coosa,Bush,Kerry,Others,2905,2055,41,58.1,41.1,0.8,R,D,O
19,Alabama,Covington,Bush,Kerry,Others,11119,3423,85,76.0,23.4,0.6,R,D,O
20,Alabama,Crenshaw,Bush,Kerry,Others,3777,1698,25,68.7,30.9,0.5,R,D,O
21,Alabama,Cullman,Bush,Kerry,Others,26818,8045,328,76.2,22.9,0.9,R,D,O
22,Alabama,Dale,Bush,Kerry,Others,13621,4484,126,74.7,24.6,0.7,R,D,O
23,Alabama,Dallas,Kerry,Bush,Others,11175,7335,63,60.2,39.5,0.3,D,R,O
24,Alabama,DeKalb,Bush,Kerry,Others,16904,7092,139,70.0,29.4,0.6,R,D,O
25,Alabama,Elmore,Bush,Kerry,Others,22056,6471,153,76.9,22.6,0.5,R,D,O
26,Alabama,Escambia,Bush,Kerry,Others,8513,3814,68,68.7,30.8,0.5,R,D,O
27,Alabama,Etowah,Bush,Kerry,Others,26999,15328,353,63.3,35.9,0.8,R,D,O
28,Alabama,Fayette,Bush,Kerry,Others,5534,2408,60,69.2,30.1,0.7,R,D,O
29,Alabama,Franklin,Bush,Kerry,Others,7690,4514,65,62.7,36.8,0.5,R,D,O
30,Alabama,Geneva,Bush,Kerry,Others,8342,2113,65,79.3,20.1,0.6,R,D,O
31,Alabama,Greene,Kerry,Bush,Others,3764,958,26,79.3,20.2,0.5,D,R,O
32,Alabama,Hale,Kerry,Bush,Others,4631,3281,33,58.3,41.3,0.4,D,R,O
33,Alabama,Henry,Bush,Kerry,Others,4881,2452,28,66.3,33.3,0.4,R,D,O
34,Alabama,Houston,Bush,Kerry,Others,26874,9144,183,74.2,25.3,0.5,R,D,O
35,Alabama,Jackson,Bush,Kerry,Others,11534,8635,152,56.8,42.5,0.7,R,D,O
36,Alabama,Jefferson,Bush,Kerry,Others,158680,132286,2001,54.2,45.2,0.7,R,D,O
