,state,county,1st,2nd,3rd,votes1,votes2,votes3,pct1,pct2,pct3,party1,party2,party3
0,Iowa,Cedar,Obama,McCain,,5201,4278,,54.0,45.0,,D,R,
0,Iowa,Cerro Gordo,Obama,McCain,,14305,9344,,60.0,39.0,,D,R,
0,Iowa,Cherokee,McCain,Obama,,3365,2883,,53.0,46.0,,R,D,
0,Iowa,Chickasaw,Obama,McCain,,3897,2536,,60.0,39.0,,D,R,
0,Iowa,Clarke,Obama,McCain,,2214,2112,,50.0,48.0,,D,R,
0,Iowa,Clay,McCain,Obama,,4345,3908,,52.0,47.0,,R,D,
0,Iowa,Clayton,Obama,McCain,,5174,3640,,58.0,41.0,,D,R,
0,Iowa,Clinton,Obama,McCain,,14733,9068,,61.0,38.0,,D,R,
0,Iowa,Crawford,Obama,McCain,,3697,3338,,52.0,47.0,,D,R,
0,Iowa,Dallas,McCain,Obama,,16904,15101,,52.0,47.0,,R,D,
0,Iowa,Davis,McCain,Obama,,2553,2262,,52.0,46.0,,R,D,
0,Iowa,Decatur,McCain,Obama,,2019,1983,,50.0,49.0,,R,D,
0,Iowa,Delaware,Obama,McCain,,4630,4108,,52.0,46.0,,D,R,
