AA,20081231,3,18826,7.65
AA,20081231,3,51732,9.6
AA,20081231,3,114556,9.57
AA,20081231,3,18324,9.9
AA,20081231,3,18826,8.1
AA,20081231,3,51732,10.32
AA,20081231,3,18826,6.54
AA,20081231,3,73867,8.4
AA,20081231,3,73867,7.62
AA,20081231,3,76852,7.59
AA,20081231,3,51732,8.85
AA,20081231,3,476,7.65
AA,20081231,3,18324,9.0
AA,20081231,3,78362,7.23
AA,20081231,3,18826,6.9
AA,20081231,3,51732,8.94
AA,20081231,3,476,6.27
AA,20081231,3,73867,6.99
AA,20081231,3,18826,5.88
AA,20081231,3,73867,6.15
AA,20081231,3,51732,6.0
AA,20081231,3,76852,7.2
AA,20081231,3,78362,6.48
AA,20081231,3,476,4.8
AA,20081231,3,18324,5.88
AA,20081231,3,48907,5.46
AA,20081231,3,76852,5.04
AA,20081231,3,78362,5.22
AA,20081231,3,18826,4.77
AA,20081231,3,73867,5.31
AA,20081231,3,112661,4.74
AA,20081231,3,51732,5.49
AA,20081231,3,114556,4.86
AA,20081231,3,48907,5.04
AA,20081231,3,18826,4.71
AA,20081231,3,78362,4.68
AA,20081231,3,73867,4.29
AA,20081231,3,18324,5.73
AA,20081231,3,48907,4.71
AA,20081231,3,112661,4.38
AA,20081231,3,78362,4.62
AA,20081231,3,18826,4.32
AA,20081231,3,476,3.0
AA,20081231,3,48907,4.41
AA,20081231,3,18324,4.47
AA,20081231,3,78362,3.96
AA,20081231,3,114556,4.62
AA,20081231,3,76852,4.23
AA,20081231,3,73867,1.29
AA,20091231,3,73867,-2.58
AA,20091231,3,112661,-4.5
AA,20091231,3,18324,1.29
AA,20091231,3,18324,-0.84
AA,20091231,3,112989,-3.06
AA,20091231,3,73867,-2.43
AA,20091231,3,97236,-3.36
AA,20091231,3,18082,-3.3
AA,20091231,3,48907,-2.61
AA,20091231,3,76852,-3.3
AA,20091231,3,18826,-3.15
AA,20091231,3,112467,-1.71
AA,20091231,3,87125,-3.39
AA,20091231,3,112661,-3.0
AA,20091231,3,73367,-2.7
AA,20091231,3,122030,-4.17
AA,20091231,3,18826,-2.64
AA,20091231,3,73867,-3.06
AA,20091231,3,73367,-1.86
AA,20091231,3,122030,-3.3
AA,20091231,3,123647,-0.897
AA,20091231,3,112467,-1.338
AA,20091231,3,18324,-2.07
AA,20091231,3,76852,-2.97
AA,20091231,3,73867,-2.76
AA,20091231,3,112661,-2.88
AA,20091231,3,122030,-2.85
AA,20091231,3,48907,-1.47
AA,20091231,3,76852,-2.25
AA,20091231,3,18826,-2.1
AA,20091231,3,112661,-2.28
AA,20091231,3,73367,-1.68
AA,20091231,3,73867,-2.52
AA,20091231,3,18826,-1.95
