AAP,19970108,0,0.5
AAP,19970326,0,0.41
AAP,19970711,2,0.52
AAP,19971014,3,0.33
AAP,19980107,0,0.15
AAP,19980407,1,0.1
AAP,19980708,2,-0.05
AAP,19981020,3,0.05
AAP,19990108,0,-0.1
AAP,19990407,1,-0.01
AAP,19990701,2,0.04
AAP,19991012,3,0.25
AAP,20000118,0,0.14
AAP,20000420,1,0.17
AAPL,19830422,1,0.0071
AAPL,19830721,2,0.0071
AAPL,19831025,3,0.0014
AAPL,19840125,0,0.0018
AAPL,19840415,1,0.0027
AAPL,19840715,2,0.0054
AAPL,19841019,3,0.0089
AAPL,19850118,0,0.0134
AAPL,19850415,1,0.0029
AAPL,19850718,2,-0.005
AAPL,19851018,3,0.0064
AAPL,19860115,0,0.0162
AAPL,19860417,1,0.0087
AAPL,19860717,2,0.0086
AAPL,19861015,3,0.0089
AAPL,19870120,0,0.0164
AAPL,19870415,1,0.0089
AAPL,19870714,2,0.0143
AAPL,19871014,3,0.0193
AAPL,19880121,0,0.0329
AAPL,19880419,1,0.0218
AAPL,19880720,2,0.0254
AAPL,19890117,0,0.0393
AAPL,19890419,1,0.0157
AAPL,19890724,2,0.0264
AAPL,19891023,3,0.0311
AAPL,19900121,0,0.0343
AAPL,19900421,1,0.0371
AAPL,19900718,2,0.0343
AAPL,19901020,3,0.0289
AAPL,19910119,0,0.0457
AAPL,19910415,1,0.0382
AAPL,19910717,2,0.0257
AAPL,19911021,3,0.0239
AAPL,19920118,0,0.0486
AAPL,19920417,1,0.0389
AAPL,19920718,2,0.0382
AAPL,19921017,3,0.0325
AAPL,19930116,0,0.0475
AAPL,19930420,1,0.0329
AAPL,19930716,2,0.0032
AAPL,19931015,3,0.0007
AAPL,19940121,0,0.0121
AAPL,19940421,1,0.0054
AAPL,19940722,2,0.0179
AAPL,19941017,3,0.0339
AAPL,19950119,0,0.0521
AAPL,19950420,1,0.0211
AAPL,19950720,2,0.03
AAPL,19951018,3,0.0171
AAPL,19960117,0,-0.02
AAPL,19960417,1,-0.0661
AAPL,19960717,2,-0.0204
AAPL,19961016,3,0.0021
AAPL,19970115,0,-0.0343
AAPL,19970416,1,-0.0507
AAPL,19970716,2,-0.0157
AAPL,19971015,3,-0.0068
AAPL,19980114,0,0.0118
AAPL,19980415,1,0.0136
AAPL,19980715,2,0.0179
AAPL,19981014,3,0.0243
AAPL,19990113,0,0.0279
AAPL,19990414,1,0.0214
AAPL,19990714,2,0.0246
AAPL,19991013,3,0.0182
AAPL,20000119,0,0.0357
AAPL,20000419,1,0.0314
AAPL,20000718,2,0.0321
AAPL,20001018,3,0.0214
AAPL,20010215,0,-0.0521
AAPL,20010418,1,0.0079
AAPL,20010718,2,0.0121
AAPL,20011017,3,0.0129
AAPL,20020116,0,0.0079
AAPL,20020515,1,0.0079
AAPL,20020716,2,0.0064
AAPL,20021016,3,0.0014
AAPL,20030115,0,0.0021
AAPL,20030416,1,0.0029
AAPL,20030716,2,0.0036
AAPL,20031015,3,0.0057
AAPL,20040114,0,0.0114
AAPL,20040414,1,0.01
AAPL,20040714,2,0.0121
AAPL,20041013,3,0.0193
AAPL,20050112,0,0.05
AAPL,20050413,1,0.0486
AAPL,20050713,2,0.0529
AAPL,20051011,3,0.0543
AAPL,20060118,0,0.0929
AAPL,20060419,1,0.0671
AAPL,20060719,2,0.0771
AAPL,20061018,3,0.0886
AAPL,20070117,0,0.1629
AAPL,20070425,1,0.1243
AAPL,20070725,2,0.1314
AAPL,20071022,3,0.1443
AAPL,20080122,0,0.2514
AAPL,20080423,1,0.1657
AAPL,20080721,2,0.17
AAPL,20081021,3,0.18
AAPL,20090121,0,0.2543
AAPL,20090422,1,0.19
AAPL,20090721,2,0.1929
AAPL,20091019,3,0.26
AAPL,20100125,0,0.5243
AAPL,20100420,1,0.4757
AAPL,20100720,2,0.5014
AAPL,20101018,3,0.6629
AAPL,20110118,0,0.9186
AAPL,20110420,1,0.9143
