,TICKER,quarternum,analyst,forecast_value,year,earn_value,std,Analyst_Counts,Max,Min,the max_forecast-min_forecast,delta_return,Y,Y_up,Y_down,quantile_0,quantile_10,quantile_20,quantile_30,quantile_40,quantile_50,quantile_60,quantile_70,quantile_80,quantile_90
AMGN02006,AMGN,0,85802,0.84,2006,0.75,0.029934795038934033,30,0.93,0.82,0.1100000000000001,-0.012399999999999967,0,0,0,0.16666666666666666,0.1,0.03333333333333333,0.03333333333333333,0.1,0.13333333333333333,0.2,0.13333333333333333,0.06666666666666667,0.03333333333333333
AMGN02006,AMGN,0,79991,0.91,2006,0.75,0.029934795038934033,30,0.93,0.82,0.1100000000000001,-0.012399999999999967,0,0,0,0.16666666666666666,0.1,0.03333333333333333,0.03333333333333333,0.1,0.13333333333333333,0.2,0.13333333333333333,0.06666666666666667,0.03333333333333333
AMGN02006,AMGN,0,83335,0.91,2006,0.75,0.029934795038934033,30,0.93,0.82,0.1100000000000001,-0.012399999999999967,0,0,0,0.16666666666666666,0.1,0.03333333333333333,0.03333333333333333,0.1,0.13333333333333333,0.2,0.13333333333333333,0.06666666666666667,0.03333333333333333
AMGN02006,AMGN,0,105436,0.9,2006,0.75,0.029934795038934033,30,0.93,0.82,0.1100000000000001,-0.012399999999999967,0,0,0,0.16666666666666666,0.1,0.03333333333333333,0.03333333333333333,0.1,0.13333333333333333,0.2,0.13333333333333333,0.06666666666666667,0.03333333333333333
AMGN02006,AMGN,0,51164,0.89,2006,0.75,0.029934795038934033,30,0.93,0.82,0.1100000000000001,-0.012399999999999967,0,0,0,0.16666666666666666,0.1,0.03333333333333333,0.03333333333333333,0.1,0.13333333333333333,0.2,0.13333333333333333,0.06666666666666667,0.03333333333333333
AMGN02006,AMGN,0,80480,0.82,2006,0.75,0.029934795038934033,30,0.93,0.82,0.1100000000000001,-0.012399999999999967,0,0,0,0.16666666666666666,0.1,0.03333333333333333,0.03333333333333333,0.1,0.13333333333333333,0.2,0.13333333333333333,0.06666666666666667,0.03333333333333333
AMGN02006,AMGN,0,70926,0.89,2006,0.75,0.029934795038934033,30,0.93,0.82,0.1100000000000001,-0.012399999999999967,0,0,0,0.16666666666666666,0.1,0.03333333333333333,0.03333333333333333,0.1,0.13333333333333333,0.2,0.13333333333333333,0.06666666666666667,0.03333333333333333
AMGN02006,AMGN,0,48365,0.84,2006,0.75,0.029934795038934033,30,0.93,0.82,0.1100000000000001,-0.012399999999999967,0,0,0,0.16666666666666666,0.1,0.03333333333333333,0.03333333333333333,0.1,0.13333333333333333,0.2,0.13333333333333333,0.06666666666666667,0.03333333333333333
AMGN02006,AMGN,0,59394,0.82,2006,0.75,0.029934795038934033,30,0.93,0.82,0.1100000000000001,-0.012399999999999967,0,0,0,0.16666666666666666,0.1,0.03333333333333333,0.03333333333333333,0.1,0.13333333333333333,0.2,0.13333333333333333,0.06666666666666667,0.03333333333333333
AMGN02006,AMGN,0,81862,0.89,2006,0.75,0.029934795038934033,30,0.93,0.82,0.1100000000000001,-0.012399999999999967,0,0,0,0.16666666666666666,0.1,0.03333333333333333,0.03333333333333333,0.1,0.13333333333333333,0.2,0.13333333333333333,0.06666666666666667,0.03333333333333333
